STATION,STATION_NAME,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WSF2,WT09,WT01,WT05,WT02,WT08,WT03
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000226,13,-9999,28,0,24,36,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000227,3,-9999,122,11,21,63,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000228,69,-9999,122,22,41,89,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000229,0,-9999,83,6,68,116,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000301,0,-9999,100,-6,27,63,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000302,0,-9999,78,22,39,94,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000303,0,-9999,61,0,63,125,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000304,0,-9999,94,0,44,94,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000305,0,-9999,83,-22,34,103,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000306,0,-9999,83,6,46,107,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000307,0,-9999,167,-44,18,67,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000308,0,-9999,128,11,26,63,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000309,51,-9999,222,39,38,98,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000310,0,-9999,117,11,49,98,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000311,76,-9999,17,0,29,49,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000312,330,-9999,39,-11,38,94,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000313,3,-9999,28,-61,41,98,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000314,0,-9999,106,-72,29,80,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000315,0,-9999,133,6,24,72,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000316,104,-9999,206,39,50,94,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000317,137,-9999,39,-78,68,112,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000318,0,-9999,11,-111,18,72,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000319,0,-9999,50,-72,21,58,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000320,0,-9999,67,-50,31,67,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000321,0,-9999,61,-17,36,72,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000322,0,-9999,106,-11,29,63,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000323,0,-9999,194,-33,14,76,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000324,0,-9999,178,6,26,89,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014710,MANCHESTER AIRPORT NH US,20000325,5,-9999,183,0,26,72,-9999,-9999,-9999,-9999,-9999,-9999
